Date,Open,High,Low,Close,Volume
10/25/2016 16:00:00,2149.72,2151.44,2141.93,2143.16,530792143
10/26/2016 16:00:00,2136.97,2145.73,2131.59,2139.43,562087522
10/27/2016 16:00:00,2144.06,2147.13,2132.52,2133.04,614708800
10/28/2016 16:00:00,2132.23,2140.72,2119.36,2126.41,641367743
10/31/2016 16:00:00,2129.78,2133.25,2125.53,2126.15,673263488
11/1/2016 16:00:00,2128.68,2131.45,2097.85,2111.72,712604519
11/2/2016 16:00:00,2109.43,2111.76,2094,2097.94,641501340
11/3/2016 16:00:00,2098.8,2102.56,2085.23,2088.66,593008290
11/4/2016 16:00:00,2083.79,2099.07,2083.79,2085.18,624672107
11/7/2016 16:00:00,2100.59,2132,2100.59,2131.52,608621001
11/8/2016 16:00:00,2129.92,2146.87,2123.56,2139.56,556634318
11/9/2016 16:00:00,2131.56,2170.1,2125.35,2163.26,992770441
11/10/2016 16:00:00,2167.49,2182.3,2151.17,2167.48,997868105
11/11/2016 16:00:00,2162.71,2165.92,2152.49,2164.45,734601661
11/14/2016 16:00:00,2165.64,2171.36,2156.08,2164.2,798242148
11/15/2016 16:00:00,2168.29,2180.84,2166.38,2180.39,683976715
11/16/2016 16:00:00,2177.53,2179.22,2172.2,2176.94,569327906
11/17/2016 16:00:00,2178.61,2188.06,2176.65,2187.12,569018109
11/18/2016 16:00:00,2186.85,2189.89,2180.38,2181.9,670518317
11/21/2016 16:00:00,2186.43,2198.7,2186.43,2198.18,571010395
11/22/2016 16:00:00,2201.56,2204.8,2194.51,2202.94,593601222
11/23/2016 16:00:00,2198.55,2204.72,2194.51,2204.72,523778550
11/25/2016 16:00:00,2206.27,2213.35,2206.27,2213.35,261974388
11/28/2016 16:00:00,2210.21,2211.14,2200.36,2201.72,562045555
11/29/2016 16:00:00,2200.76,2210.46,2198.15,2204.66,578283446
11/30/2016 16:00:00,2204.97,2214.1,2198.81,2198.81,1055352593
12/1/2016 16:00:00,2200.17,2202.6,2187.44,2191.08,742047822
12/2/2016 16:00:00,2191.12,2197.95,2188.37,2191.95,587431425
12/5/2016 16:00:00,2200.65,2209.42,2199.97,2204.71,2353018266
12/6/2016 16:00:00,2207.26,2212.78,2202.21,2212.23,2170130802
12/7/2016 16:00:00,2210.72,2241.63,2208.93,2241.35,2734847977
12/8/2016 16:00:00,2241.13,2251.69,2237.57,2246.19,2436820226
12/9/2016 16:00:00,2249.73,2259.8,2249.23,2259.53,2200678359
12/12/2016 16:00:00,2258.83,2264.03,2252.37,2256.96,2358393197
12/13/2016 16:00:00,2263.32,2277.53,2263.32,2271.72,2311255270
12/14/2016 16:00:00,2268.35,2276.2,2248.44,2253.28,2660459785
12/15/2016 16:00:00,2253.77,2272.12,2253.77,2262.03,2428153807
12/16/2016 16:00:00,2266.81,2268.05,2254.24,2258.07,3710588961
12/19/2016 16:00:00,2259.24,2267.47,2258.21,2262.53,782039600
12/20/2016 16:00:00,2266.5,2272.56,2266.14,2270.76,724056775
